Antecedent,Consequent,Support,Confidence,Lift
G2Level=Medium,"Failures=0, G1Level=Medium",0.3139240506329114,0.6813186813186813,1.640980970249263
"Failures=0, G1Level=Medium",G2Level=Medium,0.3139240506329114,0.7560975609756098,1.6409809702492628
"G1Level=Medium, Sex=F",G2Level=Medium,0.18734177215189873,0.7551020408163266,1.6388203633101592
"G2Level=Medium, Romantic=no",G1Level=Medium,0.2379746835443038,0.7768595041322314,1.6322314049586777
G1Level=Medium,"G2Level=Medium, School=GP",0.31645569620253167,0.6648936170212767,1.631260737412449
"G2Level=Medium, School=GP",G1Level=Medium,0.31645569620253167,0.7763975155279503,1.6312607374124488
"FamilySize=GT3, G2Level=Medium",G1Level=Medium,0.2481012658227848,0.7716535433070866,1.6212933489696766
"G2Level=Medium, Sex=F",G1Level=Medium,0.18734177215189873,0.7708333333333334,1.619570035460993
"FamilySupport=yes, G2Level=Medium",G1Level=Medium,0.22025316455696203,0.7699115044247787,1.6176332140839766
"SchoolSupport=no, StudyTime=<2 hrs",Sex=M,0.18227848101265823,0.7578947368421053,1.6009006473402758
"FamilySize=GT3, G1Level=Medium",G2Level=Medium,0.2481012658227848,0.7368421052631579,1.5991902834008096
StudyTime=<2 hrs,"SchoolSupport=no, Sex=M",0.18227848101265823,0.6857142857142858,1.5747508305647844
StudyTime=<2 hrs,Sex=M,0.19746835443037974,0.7428571428571429,1.5691367456073337
"Result=Pass, Sex=F",G2Level=Medium,0.23037974683544304,0.6842105263157895,1.4849624060150375
"FamilySupport=yes, Result=Pass",G2Level=Medium,0.2708860759493671,0.6815286624203821,1.4791418772310492
"Activities=no, G2Level=Medium",Result=Pass,0.21772151898734177,0.9885057471264367,1.4734330947733678
"AgeGroup=17-18, Result=Pass",G2Level=Medium,0.1949367088607595,0.6754385964912282,1.4659244264507425
"Result=Pass, StudyTime=2-5 hrs",G2Level=Medium,0.21772151898734177,0.671875,1.4581902472527473
"G1Level=Medium, G2Level=Medium",Result=Pass,0.35443037974683544,0.9722222222222222,1.44916142557652
"Activities=no, Result=Pass",G2Level=Medium,0.21772151898734177,0.6666666666666666,1.4468864468864469
"Absences=Medium, Result=Pass",G2Level=Medium,0.18227848101265823,0.6666666666666666,1.4468864468864469
"FamilySize=GT3, G2Level=Medium",Result=Pass,0.31139240506329113,0.9685039370078741,1.4436190759173972
"G2Level=Medium, SchoolSupport=no",Result=Pass,0.38734177215189874,0.9683544303797468,1.4433962264150941
"FamilySize=GT3, Result=Pass",G2Level=Medium,0.31139240506329113,0.6648648648648648,1.442975942975943
G2Level=Medium,"FamilySize=GT3, Result=Pass",0.31139240506329113,0.6758241758241758,1.4429759429759428
"G2Level=Medium, Sex=M",Result=Pass,0.21012658227848102,0.9651162790697675,1.4385695480473892
"Failures=0, G2Level=Medium",Result=Pass,0.37721518987341773,0.9612903225806453,1.4328667072428485
"Absences=Medium, G2Level=Medium",Result=Pass,0.18227848101265823,0.96,1.430943396226415
"G2Level=Medium, Romantic=no",Result=Pass,0.2936708860759494,0.9586776859504131,1.4289723998128798
G2Level=Medium,Result=Pass,0.44050632911392407,0.9560439560439561,1.425046651461746
Result=Pass,G2Level=Medium,0.44050632911392407,0.6566037735849056,1.4250466514617457
"AgeGroup=<=16, G2Level=Medium",Result=Pass,0.21518987341772153,0.9550561797752809,1.4235743057027772
"G2Level=Medium, HigherEducation=yes",Result=Pass,0.4253164556962025,0.9545454545454546,1.4228130360205833
"AgeGroup=17-18, G2Level=Medium",Result=Pass,0.1949367088607595,0.9506172839506173,1.416957838341486
"G2Level=Medium, School=GP",Result=Pass,0.38734177215189874,0.9503105590062112,1.4165006445564279
G2Level=Medium,"HigherEducation=yes, Result=Pass",0.4253164556962025,0.923076923076923,1.4132379248658318
"HigherEducation=yes, Result=Pass",G2Level=Medium,0.4253164556962025,0.6511627906976744,1.4132379248658316
"G2Level=Medium, Internet=yes",Result=Pass,0.369620253164557,0.948051948051948,1.413134035775545
"Absences=Low, G2Level=Medium",Result=Pass,0.1848101265822785,0.948051948051948,1.413134035775545
"G2Level=Medium, Sex=F",Result=Pass,0.23037974683544304,0.9479166666666667,1.412932389937107
"FamilySupport=yes, G2Level=Medium",Result=Pass,0.2708860759493671,0.9469026548672566,1.4114209383870426
